DateTime,Outdoor_Temperature,DH_Heating_Rate
 01/04  10:30:00,8.37,167.23
 01/04  10:45:00,8.49,168.11
 01/04  11:00:00,8.61,164.64
 01/04  11:15:00,8.655,158.47
 01/04  11:30:00,8.7,153.62
 01/04  11:45:00,8.745,148.94
 01/04  12:00:00,8.79,143.65
 01/04  12:15:00,8.835,138.93
 01/04  12:30:00,8.88,133.7
 01/04  12:45:00,8.925,129.66
 01/04  13:00:00,8.97,126.72
 01/04  13:15:00,9.015,125.55
 01/04  13:30:00,9.06,124.46
 01/04  13:45:00,9.105,124.89
 01/04  14:00:00,9.15,127.39
 01/04  14:15:00,8.985,133.23
 01/04  14:30:00,8.82,135.93
 01/04  14:45:00,8.655,142.14
 01/04  15:00:00,8.49,145.84
 01/04  15:15:00,8.3225,150.08
 01/04  15:30:00,8.155,154.31
 01/04  15:45:00,7.9875,157.43
 01/04  16:00:00,7.82,159.25
 01/04  16:15:00,7.655,167.19
 01/04  16:30:00,7.49,173.01
 01/04  16:45:00,7.325,175.01
 01/04  17:00:00,7.16,175.22
 01/04  17:15:00,7.1,177.33
 01/04  17:30:00,7.04,176.46
 01/04  17:45:00,6.98,177.26
 01/04  18:00:00,6.92,176.83
 01/04  18:15:00,6.86,180.38
 01/04  18:30:00,6.8,179.03
 01/04  18:45:00,6.74,180.43
 01/04  19:00:00,6.68,181.2
 01/04  19:15:00,6.62,182.24
 01/04  19:30:00,6.56,182.34
 01/04  19:45:00,6.5,184.67
 01/04  20:00:00,6.44,185.1
 01/04  20:15:00,6.4225,181.03
 01/04  20:30:00,6.405,176.54
 01/04  20:45:00,6.3875,174.91
 01/04  21:00:00,6.37,178.31
 01/04  21:15:00,6.3525,177.54
 01/04  21:30:00,6.335,177.79
 01/04  21:45:00,6.3175,179.31
 01/04  22:00:00,6.3,180.18
 01/04  22:15:00,6.2825,179.79
 01/04  22:30:00,6.265,180.35
 01/04  22:45:00,6.2475,181.84
 01/04  23:00:00,6.23,180.48
 01/04  23:15:00,6.31,180.78
 01/04  23:30:00,6.39,180.99
 01/04  23:45:00,6.47,181.42
 01/04  24:00:00,6.55,182.67
 01/05  00:15:00,6.6275,181.8
 01/05  00:30:00,6.705,182.44
 01/05  00:45:00,6.7825,182.48
 01/05  01:00:00,6.86,181.74
 01/05  01:15:00,6.94,182.7
 01/05  01:30:00,7.02,183.83
 01/05  01:45:00,7.1,182.97
 01/05  02:00:00,7.18,182.51
 01/05  02:15:00,7.21,183.75
 01/05  02:30:00,7.24,184.08
 01/05  02:45:00,7.27,184.03
 01/05  03:00:00,7.3,182.84
 01/05  03:15:00,7.3325,185.1
 01/05  03:30:00,7.365,184.84
 01/05  03:45:00,7.3975,184.26
 01/05  04:00:00,7.43,185.14
 01/05  04:15:00,7.46,183.7
 01/05  04:30:00,7.49,186.46
 01/05  04:45:00,7.52,183.79
 01/05  05:00:00,7.55,186.57
 01/05  05:15:00,7.6125,186.39
 01/05  05:30:00,7.675,184.39
 01/05  05:45:00,7.7375,184.95
 01/05  06:00:00,7.8,186.46
 01/05  06:15:00,7.8625,185.06
 01/05  06:30:00,7.925,185.7
 01/05  06:45:00,7.9875,185.01
 01/05  07:00:00,8.05,184.87
 01/05  07:15:00,8.115,188.29
 01/05  07:30:00,8.18,190.17
 01/05  07:45:00,8.245,190.76
 01/05  08:00:00,8.31,190.51
 01/05  08:15:00,8.52,187.89
 01/05  08:30:00,8.73,184.09
 01/05  08:45:00,8.94,180.98
 01/05  09:00:00,9.15,177.31
 01/05  09:15:00,9.36,176.61
 01/05  09:30:00,9.57,178.3
 01/05  09:45:00,9.78,176.28
 01/05  10:00:00,9.99,175.94
 01/05  10:15:00,10.2,174.69
 01/05  10:30:00,10.41,174.6
 01/05  10:45:00,10.62,172.67
 01/05  11:00:00,10.83,169.69
 01/05  11:15:00,10.8475,163.17
 01/05  11:30:00,10.865,160.05
 01/05  11:45:00,10.8825,157.23
 01/05  12:00:00,10.9,152.12
 01/05  12:15:00,10.915,143.8
 01/05  12:30:00,10.93,136.64
 01/05  12:45:00,10.945,134.67
 01/05  13:00:00,10.96,136.57
 01/05  13:15:00,10.975,139.86
 01/05  13:30:00,10.99,145.37
 01/05  13:45:00,11.005,148.69
 01/05  14:00:00,11.02,150.6
 01/05  14:15:00,10.9375,154.67
 01/05  14:30:00,10.855,161.25
 01/05  14:45:00,10.7725,161.14
 01/05  15:00:00,10.69,161.43
 01/05  15:15:00,10.6075,164.48
 01/05  15:30:00,10.525,165.02
 01/05  15:45:00,10.4425,167.99
 01/05  16:00:00,10.36,167.82
 01/05  16:15:00,10.28,165.21
 01/05  16:30:00,10.2,162.92
 01/05  16:45:00,10.12,163.11
 01/05  17:00:00,10.04,162.76
 01/05  17:15:00,9.8875,160.86
 01/05  17:30:00,9.735,161.26
 01/05  17:45:00,9.5825,160.71
 01/05  18:00:00,9.43,162.25
 01/05  18:15:00,9.2775,157.31
 01/05  18:30:00,9.125,154.58
 01/05  18:45:00,8.9725,155.69
 01/05  19:00:00,8.82,155.66
 01/05  19:15:00,8.6675,159.76
 01/05  19:30:00,8.515,163.79
 01/05  19:45:00,8.3625,164.37
 01/05  20:00:00,8.21,165.23
 01/05  20:15:00,8.0875,164.16
 01/05  20:30:00,7.965,162.15
 01/05  20:45:00,7.8425,162.08
 01/05  21:00:00,7.72,164.83
 01/05  21:15:00,7.595,165
 01/05  21:30:00,7.47,165.85
 01/05  21:45:00,7.345,166.67
 01/05  22:00:00,7.22,166.68
 01/05  22:15:00,7.0975,169.45
 01/05  22:30:00,6.975,170.91
 01/05  22:45:00,6.8525,171.69
 01/05  23:00:00,6.73,172.36
 01/05  23:15:00,6.645,171.48
 01/05  23:30:00,6.56,173.83
 01/05  23:45:00,6.475,175.12
 01/05  24:00:00,6.39,174.17
 01/06  00:15:00,6.3075,174.6
 01/06  00:30:00,6.225,175.78
 01/06  00:45:00,6.1425,175.46
 01/06  01:00:00,6.06,175.69
 01/06  01:15:00,5.9775,175.86
 01/06  01:30:00,5.895,176.24
 01/06  01:45:00,5.8125,177.95
 01/06  02:00:00,5.73,177.19
 01/06  02:15:00,5.7325,176.44
 01/06  02:30:00,5.735,178.52
 01/06  02:45:00,5.7375,176.56
 01/06  03:00:00,5.74,177.03
 01/06  03:15:00,5.745,175.94
 01/06  03:30:00,5.75,177.3
 01/06  03:45:00,5.755,177.56
 01/06  04:00:00,5.76,175.28
 01/06  04:15:00,5.7625,174.95
 01/06  04:30:00,5.765,177.17
 01/06  04:45:00,5.7675,174.68
 01/06  05:00:00,5.77,174.83
 01/06  05:15:00,5.83,174.73
 01/06  05:30:00,5.89,174.41
 01/06  05:45:00,5.95,175.88
 01/06  06:00:00,6.01,174.1
 01/06  06:15:00,6.07,173.78
 01/06  06:30:00,6.13,174.89
 01/06  06:45:00,6.19,174.64
 01/06  07:00:00,6.25,174.25
 01/06  07:15:00,6.31,176.37
 01/06  07:30:00,6.37,178.99
 01/06  07:45:00,6.43,177.71
 01/06  08:00:00,6.49,178.52
 01/06  08:15:00,6.6775,179.73
 01/06  08:30:00,6.865,179.15
 01/06  08:45:00,7.0525,178.4
 01/06  09:00:00,7.24,178.31
 01/06  09:15:00,7.425,181.8
 01/06  09:30:00,7.61,182.8
 01/06  09:45:00,7.795,181.63
 01/06  10:00:00,7.98,183.69
 01/06  10:15:00,8.1675,183.32
 01/06  10:30:00,8.355,179.01
 01/06  10:45:00,8.5425,178.8
 01/06  11:00:00,8.73,178.66
 01/06  11:15:00,8.76,179.33
 01/06  11:30:00,8.79,180.79
 01/06  11:45:00,8.82,179.96
 01/06  12:00:00,8.85,182.22
 01/06  12:15:00,8.88,177.54
 01/06  12:30:00,8.91,173.35
 01/06  12:45:00,8.94,173.5
 01/06  13:00:00,8.97,173.12
 01/06  13:15:00,9,172.56
 01/06  13:30:00,9.03,169.5
 01/06  13:45:00,9.06,170.43
 01/06  14:00:00,9.09,173.4
 01/06  14:15:00,8.955,179.07
 01/06  14:30:00,8.82,188.55
 01/06  14:45:00,8.685,189.72
 01/06  15:00:00,8.55,190.64
 01/06  15:15:00,8.415,195.51
 01/06  15:30:00,8.28,195.82
 01/06  15:45:00,8.145,196.94
 01/06  16:00:00,8.01,197.95
 01/06  16:15:00,7.8775,194.54
 01/06  16:30:00,7.745,193.35
 01/06  16:45:00,7.6125,195.04
 01/06  17:00:00,7.48,194.76
 01/06  17:15:00,7.3125,192.94
 01/06  17:30:00,7.145,192.83
 01/06  17:45:00,6.9775,192.8
 01/06  18:00:00,6.81,193.48
 01/06  18:15:00,6.6425,188.1
 01/06  18:30:00,6.475,185.44
 01/06  18:45:00,6.3075,187.93
 01/06  19:00:00,6.14,187.64
 01/06  19:15:00,5.9725,191.47
 01/06  19:30:00,5.805,195.02
 01/06  19:45:00,5.6375,195.45
 01/06  20:00:00,5.47,198.34
 01/06  20:15:00,5.5,195.57
 01/06  20:30:00,5.53,191.3
 01/06  20:45:00,5.56,193.68
 01/06  21:00:00,5.59,193.68
 01/06  21:15:00,5.6225,194.43
 01/06  21:30:00,5.655,194.82
 01/06  21:45:00,5.6875,194.22
 01/06  22:00:00,5.72,195.7
 01/06  22:15:00,5.75,196.8
 01/06  22:30:00,5.78,197.02
 01/06  22:45:00,5.81,196.56
 01/06  23:00:00,5.84,198.24
 01/06  23:15:00,5.9425,198.98
 01/06  23:30:00,6.045,196.87
 01/06  23:45:00,6.1475,200.17
 01/06  24:00:00,6.25,197.89
 01/07  00:15:00,6.355,198.97
 01/07  00:30:00,6.46,200.45
 01/07  00:45:00,6.565,200
 01/07  01:00:00,6.67,199.15
 01/07  01:15:00,6.7725,199.87
 01/07  01:30:00,6.875,201.38
 01/07  01:45:00,6.9775,200.4
 01/07  02:00:00,7.08,200.54
 01/07  02:15:00,7.1475,200.87
 01/07  02:30:00,7.215,202.87
 01/07  02:45:00,7.2825,200.55
 01/07  03:00:00,7.35,200.89
 01/07  03:15:00,7.4175,201.33
 01/07  03:30:00,7.485,200.92
 01/07  03:45:00,7.5525,202.69
 01/07  04:00:00,7.62,201.52
 01/07  04:15:00,7.6875,201.03
 01/07  04:30:00,7.755,201.79
 01/07  04:45:00,7.8225,201.37
 01/07  05:00:00,7.89,201.23
 01/07  05:15:00,7.94,202.23
 01/07  05:30:00,7.99,201.62
 01/07  05:45:00,8.04,199.5
 01/07  06:00:00,8.09,202.09
 01/07  06:15:00,8.1375,200.82
 01/07  06:30:00,8.185,201.15
 01/07  06:45:00,8.2325,199.38
 01/07  07:00:00,8.28,201.17
 01/07  07:15:00,8.33,201.57
 01/07  07:30:00,8.38,205.94
 01/07  07:45:00,8.43,204.61
 01/07  08:00:00,8.48,202.93
 01/07  08:15:00,8.605,205.12
 01/07  08:30:00,8.73,203.14
 01/07  08:45:00,8.855,198.93
 01/07  09:00:00,8.98,198.76
 01/07  09:15:00,9.105,202.51
 01/07  09:30:00,9.23,203.53
 01/07  09:45:00,9.355,202.06
 01/07  10:00:00,9.48,200.72
 01/07  10:15:00,9.605,199.25
 01/07  10:30:00,9.73,196.14
 01/07  10:45:00,9.855,196.14
 01/07  11:00:00,9.98,192.51
 01/07  11:15:00,9.935,188.71
 01/07  11:30:00,9.89,187.26
 01/07  11:45:00,9.845,186.39
 01/07  12:00:00,9.8,186.81
 01/07  12:15:00,9.7525,182.62
 01/07  12:30:00,9.705,180.54
 01/07  12:45:00,9.6575,179.53
 01/07  13:00:00,9.61,183.33
 01/07  13:15:00,9.565,182.98
 01/07  13:30:00,9.52,182.67
 01/07  13:45:00,9.475,183.6
 01/07  14:00:00,9.43,185.58
 01/07  14:15:00,9.385,190.74
 01/07  14:30:00,9.34,194.44
 01/07  14:45:00,9.295,194.87
 01/07  15:00:00,9.25,194.93
 01/07  15:15:00,9.205,197.67
 01/07  15:30:00,9.16,201.1
 01/07  15:45:00,9.115,200.66
 01/07  16:00:00,9.07,202.24
 01/07  16:15:00,9.0275,197.65
 01/07  16:30:00,8.985,195.59
 01/07  16:45:00,8.9425,197.82
 01/07  17:00:00,8.9,194.6
 01/07  17:15:00,8.8575,195.47
 01/07  17:30:00,8.815,194.97
 01/07  17:45:00,8.7725,193.11
 01/07  18:00:00,8.73,194.18
 01/07  18:15:00,8.685,190.37
 01/07  18:30:00,8.64,186.23
 01/07  18:45:00,8.595,186.28
 01/07  19:00:00,8.55,188.94
 01/07  19:15:00,8.5075,191.17
 01/07  19:30:00,8.465,195.74
 01/07  19:45:00,8.4225,195.74
 01/07  20:00:00,8.38,197.85
 01/07  20:15:00,8.4625,194.14
 01/07  20:30:00,8.545,190.69
 01/07  20:45:00,8.6275,190.2
 01/07  21:00:00,8.71,192.43
 01/07  21:15:00,8.79,190.62
 01/07  21:30:00,8.87,190.36
 01/07  21:45:00,8.95,190.1
 01/07  22:00:00,9.03,191.54
 01/07  22:15:00,9.1125,189.74
 01/07  22:30:00,9.195,189.34
 01/07  22:45:00,9.2775,191.44
 01/07  23:00:00,9.36,190.02
 01/07  23:15:00,9.31,188.63
 01/07  23:30:00,9.26,189.1
 01/07  23:45:00,9.21,189.11
 01/07  24:00:00,9.16,189.05
 01/08  00:15:00,9.1125,186.34
 01/08  00:30:00,9.065,186.88
 01/08  00:45:00,9.0175,187.95
 01/08  01:00:00,8.97,184.71
 01/08  01:15:00,8.92,185.95
 01/08  01:30:00,8.87,185.66
 01/08  01:45:00,8.82,184.28
 01/08  02:00:00,8.77,182.7
 01/08  02:15:00,8.5775,182.21
 01/08  02:30:00,8.385,185.34
 01/08  02:45:00,8.1925,185.09
 01/08  03:00:00,8,184.54
 01/08  03:15:00,7.81,185.21
